fiscal_year,data_from_table,category_i_equity,category_i_debt,category_i_debt_vrr,category_i_hybrid,category_i_total,category_ii_equity,category_ii_debt,category_ii_debt_vrr,category_ii_hybrid,category_ii_total,category_iii_equity,category_iii_debt,category_iii_debt_vrr,category_iii_hybrid,category_iii_total,released_on,updated_on,data_source,data_url
2013-14,Table 57: FPI/FII AUC category wise data,,,,,,,,,,,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 57: FPI/FII AUC category wise data,213046,61700,,0,274746,1857913,253235,,0,2111148,6927,19039,,0,25966,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 57: FPI/FII AUC category wise data,254150,73041,,0,327191,1603613,219160,,0,1822773,31026,43547,,0,74573,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 57: FPI/FII AUC category wise data,295363,75695,,0,371058,2002922,215545,,0,2218467,72381,43822,,0,116203,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 57: FPI/FII AUC category wise data,313668,87576,,573,401817,2292679,303134,,1953,2597766,87392,61354,,19,148765,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 57: FPI/FII AUC category wise data,379859,87911,,462,468232,2445653,259242,,2447,2707342,99399,66789,,920,167108,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 57: FPI/FII AUC category wise data,1912891,279648,0,11531,2204074,203745,79478,0,1701,284926,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 57: FPI/FII AUC category wise data,3847592.9400000004,217471.13999999998,61161.64,23995.309999999998,4150221.0300000007,210952.84,53337.96000000001,45118.340000000004,1883.7600000000002,311292.9,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 57: FPI/FII AUC category wise data,4454066,203303,69859,31384,4758612,234272,50145,49509,2211,336137,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 57: FPI/FII AUC category wise data,4222780,203100,69682,27613,4523178,233432,37269,71028,3459,345187,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 57: FPI/FII AUC category wise data,6076800,310065,77235,39834,6503937,338922,36868,70722,3539,450050,0,0,0,0,0,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 57: FPI/FII AUC category wise data,6680388,181993,161836,53292,7077509,350033,21174,59986,9647,440840,,,,,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
