fiscal_year,year,only_bse_no_of_issues,only_bse_amount_cr,only_nse_no_of_issues,only_nse_amount_cr,only_msei_no_of_issues,only_msei_amount_cr,common_no_of_issues,common_amount_cr,total_no_of_issues,total_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,190,2622.2800000000007,0,0,0,0,171,53169.51384276701,361,55791.79384276701,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,2,134.503453293,0,0,9,29.564476,380,21997.747071051992,391,22161.815000344992,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,0,0,0,0,12,19.481900000000003,355,50513.09794789307,367,50532.57984789307,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,2,7.758,0,0,7,20.4669968,400,44206.65040346196,409,44234.87540026196,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,2,0.633096,4,17.4,6,17.5623,408,59491.18063568201,420,59526.776031682006,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,1,0.64,12,73.66710129999998,3,20.944596400000002,386,210063.865788235,402,210159.117485935,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,130,1853.2350265470006,14,76.1296556,4,11.27,136,172945.83349312894,284,174886.46817527595,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,101,1000.1899999999999,17,174.74,5,16.07,112,39738.649999999994,235,40929.649999999994,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,160,2732.29,30,268.28000000000003,2,2.7199999999999998,157,57692.700000000004,349,60695.990000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,211,2735.32,35,374.58000000000004,7,25.490000000000002,201,80696.51000000001,454,83831.9,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,354,10393.319999999998,73,1010.7463999999998,5,41.44,257,33709.596000000005,689,45155.1024,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,478,20194.29,149,4198.488782665,6,86.79,355,59604.287012600005,988,84083.855795265,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
