fiscal_year,year,total_no_of_issues,total_amount_cr,ipos_mainboard_no_of_issues,ipos_mainboard_amount_cr,ipos_sme_platform_no_of_issues,ipos_sme_platform_amount_cr,ipos_total_no_of_issues,ipos_total_amount_cr,other_than_ipos_fpos_no_of_issues,other_than_ipos_fpos_amount_cr,other_than_ipos_rights_no_of_issues,other_than_ipos_rights_amount_cr,released_on,updated_on,data_source,data_url
2013-14,2014,56,12067.8662442,2,1189.5285064,39,358.2956,41,1547.8241064,2,7456.77,13,3063.2721377999997,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,2015,61,9434.041171775,6,1375.6499611,37,271.12,43,1646.7699610999998,0,0.0,18,7787.271210675,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,2016,84,26431.4443604,24,15373.6213364,46,302.99940000000004,70,15676.6207364,0,0.0,14,10754.823624,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,2017,118,32483.368371874996,25,28389.955713599997,80,809.69996,105,29199.6556736,1,9.989999999997965,12,3273.7226982750003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,2018,212,99764.95196395,40,76346.5548723,148,2146.60384,188,78493.15871229999,1,4.290000000008149,23,21267.503251650003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,2019,133,18235.3193872,13,14242.628582,110,1844.0389,123,16086.667482000004,0,0.0,10,2148.6519052000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,2020,76,76965.20876000001,12,20790.37896,46,495.3827999999999,58,21285.76176,2,37.239999999999995,16,55642.206999999995,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,2021,78,110118.34,29,30814.01,26,215.7,55,31029.71,2,15030.020000000004,21,64058.61,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,2022,164,138894.642263045,51,111609.4623145,69,943.40944,120,112552.8717545,1,15.0,43,26326.770508545003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,2023,238,65823.5914251,39,52439.66562000001,125,2333.1033799999996,164,54772.76900000001,1,4300.0,73,6750.822425099999,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,2024,340,83092.51624,76,61859.8473185,196,6095.46492,272,67955.3122385,1,27.0,67,15110.204001500002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,2025,464,210189.866133046,79,162516.8221141,241,9811.1765,320,172327.9986141,2,18149.9899993,142,19711.877519646,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
