fiscal_year,data_from_table,iccl_index_stock_futures_mtm_settlement,iccl_index_stock_futures_physical_settlement,iccl_index_stock_futures_final_settlement,iccl_index_stock_options_premium_settlement,iccl_index_stock_options_exercise_settlement,iccl_total,iccl_settlement_guarantee_fund,nsccl_index_stock_futures_mtm_settlement,nsccl_index_stock_futures_physical_settlement,nsccl_index_stock_futures_final_settlement,nsccl_index_stock_options_premium_settlement,nsccl_index_stock_options_physical_settlement,nsccl_index_stock_options_exercise_settlement,nsccl_total,nsccl_settlement_guarantee_fund,released_on,updated_on,data_source,data_url
2013-14,Table 30: Settlement Statistics of Equity Derivatives Segment,1588.92,,27.589999999999996,16290.010000000002,53.57,17960.09,311.62,42290.969999999994,,1425.3,13257.26,,2157.5099999999998,59131.04,,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 30: Settlement Statistics of Equity Derivatives Segment,897.42,,21.179999999999996,36301.020000000004,48.56,37268.18,364.73,75766.48000000001,0,1753.1599999999999,15299.31,0,2834.67,95653.62,489,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 30: Settlement Statistics of Equity Derivatives Segment,451.34,,11.12,6382.05,10.219999999999999,6854.729999999999,15.31,85583.80000000002,,1420.7300000000005,15922.300000000001,,2802.22,105729.05,798,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 30: Settlement Statistics of Equity Derivatives Segment,15.099999999999998,,1.11,33.38,0.01,49.599999999999994,16.62,75833.18,,2211.29,15917.91,,2815.4900000000002,96777.87,1051.99,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 30: Settlement Statistics of Equity Derivatives Segment,10.68,,0.3400000000000001,0.060000000000000005,0,11.079999999999998,17.89,115457.07999999999,,2212.95,18941.510000000002,,3210.1899999999996,139821.73,1671.45,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 30: Settlement Statistics of Equity Derivatives Segment,0.98,0,0.08,8.67,0.05,9.78,19.43,136640.06,735.8330423200001,2754.22,19252.85,,2534.9100000000003,161182.04,1911.63,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 30: Settlement Statistics of Equity Derivatives Segment,1778.4899999999998,130.28,95.26999999999998,1165.6,10.91,3180.5499999999993,21.81,160612.91999999998,23116.913934505003,2264.8799999999997,25581.850000000002,,6384.860000000001,217961.42393450497,2211.84,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 30: Settlement Statistics of Equity Derivatives Segment,8779.55,731.87,289.98,40163.17,96.88,50061.45,30.42,151715.75,28431.32705128,2138.43,31429.2,,6251.07,191534.45,2495.18,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 30: Settlement Statistics of Equity Derivatives Segment,38867.11,1750.0300000000002,935.8000000000001,343590.02,822.4,385965.36,61.11,242873.10999999996,,3968.15,53890.8068455,,8840.9483831,274793.95,2826.87,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 30: Settlement Statistics of Equity Derivatives Segment,62739.59,3803.35,977.7700000000001,499043.25999999995,1674.2399999999998,564434.86,92.1,243765.70164159,,2796.669471565,86678.48334711,,12912.975330375,346153.82979064,3664.4,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 30: Settlement Statistics of Equity Derivatives Segment,63283.05,0,1164.43,398056.44,1176.52,463680.44000000006,100.92,239700.49895134,,3940.73457816,112155.919933355,,24024.77370004,379821.92716289504,4264.49,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 30: Settlement Statistics of Equity Derivatives Segment,25026.298595214987,0,552.633887175,36207.99571266,2068.1342403050003,63855.062435354994,422.47,494985.9146200429,,4597.406794827,161430.67812361498,,43356.32829661999,704370.337835105,10986.96,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
