fiscal_year,data_from_table,gross_purchases_inr_crore,gross_sales_inr_crore,net_investment_inr_crore,net_investment_us_mn,cumulative_net_investment_us_mn,released_on,updated_on,data_source,data_url
2013-14,Table 53: Trends in Foreign Portfolio Investment,1021008.4199999999,969359.0000000001,51649.5,8875.809999999998,180404.91,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2014-15,Table 53: Trends in Foreign Portfolio Investment,1521346.09,1243886.3499999999,277459.66,45697.979999999996,226102.89,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2015-16,Table 53: Trends in Foreign Portfolio Investment,1324417.5300000003,1342592.67,-18175.139999999996,-2522.8,223580.09000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2016-17,Table 53: Trends in Foreign Portfolio Investment,1507027.6999999997,1458616.67,48411.03,7599.649999999998,231179.74000000002,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2017-18,Table 53: Trends in Foreign Portfolio Investment,1728359.5399999998,1583678.77,144680.76999999996,22465.570000000003,253645.31000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2018-19,Table 53: Trends in Foreign Portfolio Investment,1640809.7200000002,1679740.8399999999,-38931.11999999999,-5498.740000000001,248146.57000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2019-20,Table 53: Trends in Foreign Portfolio Investment,1905516.99,1933046.1599999997,-27529.170000000013,-3041.5499999999993,245105.02000000008,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2020-21,Table 53: Trends in Foreign Portfolio Investment,2320289.04,2053189.05,267099.99,36180.25,281285.2700000001,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2021-22,Table 53: Trends in Foreign Portfolio Investment,2387376.06,2509615.89,-122239.83,-16018.36,265266.91000000003,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2022-23,Table 53: Trends in Foreign Portfolio Investment,2342193.71,2383130.69,-40936.979999999996,-5510.1799999999985,259756.73000000004,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2023-24,Table 53: Trends in Foreign Portfolio Investment,3617496.66,3278432.04,339064.62,41044.090000000004,300808.43000000005,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
2024-25,Table 53: Trends in Foreign Portfolio Investment,4916814.649999999,4896794.44,20018,2704.769999999998,303513.2,2025-12-10,2026-04-08,Securities and Exchange Board of India,https://www.sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=4&ssid=80&smid=105
